eval/mean_reward,rollout/ep_len_mean,_step,curriculum/ent_coef,curriculum/pct_within_6m,rollout/ep_rew_mean,train/explained_variance,train/policy_gradient_loss,train/std,curriculum/phase,train/clip_range,_timestamp,global_step,curriculum/success_rate,_runtime,train/entropy_loss,train/approx_kl,time/fps,train/learning_rate,curriculum/wall_hit_rate,train/value_loss,curriculum/pct_within_2m,eval/mean_ep_length,curriculum/median_landing_dist,curriculum/pct_within_1m,curriculum/mean_landing_dist,train/clip_fraction,train/loss
,,4696,,,,,,,,,1776369177.37941,5562368.0,,1118.08854925,,,,,,,,,2.7916384,,,,
,,4705,,,,,,,,,1776369177.3795211,5562368.0,,1118.088644,,,4991.0,,,,,,,,,,
,,4752,,,-1.756993,,,,,,1776369188.844463,5619712.0,,1133.093356834,,,,,,,,,,,,,
,,4800,,,,,,,,,1776369200.4295418,5677056.0,,1143.098695459,,,,,2.5,,,,,,,,
,,4818,,,,,,,,,1776369206.150398,5705728.0,,1148.0997375,,,,,,,,,3.0553389,,,,
-11.9749975,,4901,,,,,,,,,1776369224.986916,5797680.0,,1168.110457334,,,,,,,,,,,,,
,,4906,,,,0.37149793,,,,,1776369224.9869409,5797680.0,,1168.110479209,,,,,,,,,,,,,
,,4909,,,,,0.014083173,,,,1776369224.986954,5797680.0,,1168.1104925,,,,,,,,,,,,,
,,4918,,,,,,,2.0,,1776369229.524787,5820416.0,,1173.112867542,,,,,,,,,,,,,
,,4919,,,,,,,,,1776369229.524791,5820416.0,0.17,1173.1128725,,,,,,,,,,,,,
,,4935,,,,,,,,,1776369229.996153,5822670.0,,1173.113158792,,,,,,0.51952124,,,,,,,
,,4983,,,,,0.04446662,,,,1776369244.911474,5897640.0,,1188.117959,,,,,,,,,,,,,
,,5017,,,,,,,,,1776369252.35056,5935104.0,0.205,1193.120482084,,,,,,,,,,,,,
,,5038,,,,,,,,,1776369258.086041,5963776.0,,1198.122702209,,,,,,,40.0,,,,,,
,,5044,,,-0.9042917,,,,,,1776369258.086064,5963776.0,,1198.12273725,,,,,,,,,,,,,
,,5077,,,,,,,,,1776369264.8909109,5997600.0,,1208.126272792,,,,0.0003,,,,,,,,,
,,5089,,,,,,,,,1776369269.63112,6021120.0,0.175,1213.128312625,,,,,,,,,,,,,
,,5105,,,,,,,,,1776369269.9624372,6022590.0,,1213.128610334,,,,,,0.43595555,,,,,,,
,,5159,,,,,,,,,1776369287.355569,6107136.0,,1228.135080084,,,,,,,,,,18.0,,,
,,5160,,,,,,,,,1776369287.3555741,6107136.0,,1228.135084917,,,,,,,39.0,,,,,,
,1.0,5165,,,,,,,,,1776369287.355593,6107136.0,,1228.1353025,,,,,,,,,,,,,
,1.0,5237,,,,,,,,,1776369305.123393,6193152.0,,1248.143456042,,,,,,,,,,,,,
,,5258,,,,,,,2.0,,1776369310.8885581,6221824.0,,1253.145039959,,,,,,,,,,,,,
,,5264,,,,,,,,,1776369311.114356,6222510.0,,1253.145068,,,,,,,,1.0,,,,,
,,5275,,,,,,,,,1776369311.11454,6222510.0,,1253.145130667,,,,,,0.81873006,,,,,,,
,,5308,,,,,,,2.0,,1776369322.547363,6279168.0,,1263.15180475,,,,,,,,,,,,,
,,5337,,,,,,,,,1776369328.3017101,6307840.0,,1268.154918292,,,4985.0,,,,,,,,,,
,,5361,,,,,,,,,1776369334.026888,6336512.0,,1278.158851167,,,4985.0,,,,,,,,,,
,,5380,,,,,,,2.0,,1776369339.804811,6365184.0,,1283.160207792,,,,,,,,,,,,,
,,5388,,,,,,,,,1776369341.343271,6372450.0,,1283.1602845,,0.0583961,,,,,,,,,,,
,1.0,5407,,,,,,,,,1776369345.6135411,6393856.0,,1288.162688584,,,,,,,,,,,,,
,,5412,,,,,,,,,1776369346.39335,6397440.0,,1288.162712917,,0.07199824,,,,,,,,,,,
,,5421,,,,,,,,,1776369346.393475,6397440.0,,1288.162755,,,,,,0.33765736,,,,,,,
,,5422,,,,,,,,,1776369351.403209,6422430.0,,1293.163512417,,,,,,,,1.0,,,,,
,,5464,,,,,,,,0.2,1776369361.4885309,6472410.0,,1303.169103709,,,,,,,,,,,,,
,,5487,,,,,,,,,1776369366.5111449,6497400.0,,1308.171442167,,,,,,,,,,,,0.4169922,
,,5532,,,,,,,,,1776369376.6830359,6547380.0,,1318.175920792,,,,,,,,1.0,,,,,
,,5542,,,,,,0.019649785,,,1776369376.6830888,6547380.0,,1318.175972459,,,,,,,,,,,,,
,,5556,,,,,,,,,1776369381.7265542,6572370.0,,1323.177614375,,,,,,,,1.0,,,,,
,,5582,,,,,,,,,1776369386.756623,6597360.0,,1328.178635792,,0.08770827,,,,,,,,,,,
,,5595,,,,,,,,,1776369392.030487,6623232.0,,1333.180766459,,,,,,,,,,,2.65944,,
,,5638,,,,,,,,,1776369401.949771,6672330.0,,1343.184925125,,,,,,,,,,,,,0.99227667
,,5689,,,,,,,,,1776369412.0584981,6722310.0,,1353.190036167,,,,,,0.40463805,,,,,,,
,,5758,,,,,,,,,1776369427.4310331,6797280.0,,1368.196327417,,,,,,,,,,,,,0.73926103
,,5772,,,,,,,,,1776369432.978302,6823936.0,,1373.199822625,,,,,1.5,,,,,,,,
,,5774,,,1.8645581,,,,,,1776369432.978313,6823936.0,,1373.199832125,,,,,,,,,,,,,
,,5794,,,,,,,2.0,,1776369438.908649,6852608.0,,1383.203800875,,,,,,,,,,,,,
,,5831,,,,,,,,,1776369448.279978,6897240.0,,1388.206715042,,,,0.0003,,,,,,,,,
,,5847,,,,,,,,,1776369450.871548,6909952.0,,1393.208617375,,,4978.0,,,,,,,,,,
,,5858,,,,,,0.018725978,,,1776369453.369618,6922230.0,,1393.208855709,,,,,,,,,,,,,
,,5859,,,,,,,,,1776369453.369687,6922230.0,,1393.208863584,,,,,,0.30868363,,,,,,,
-12.740568,,5873,,,,,,,,,1776369458.418255,6947220.0,,1398.210556625,,,,,,,,,,,,,
,,5878,,,,0.7763593,,,,,1776369458.418276,6947220.0,,1398.210581667,,,,,,,,,,,,,
,,5902,,,,0.7669933,,,,,1776369463.4700558,6972210.0,,1403.212428125,,,,,,,,,,,,,
,,5973,,,,,,,,,1776369483.587678,7072170.0,,1428.221001875,,,,,,,,,,,,0.41302082,
,,5979,,,,,0.029604452,,,,1776369483.587701,7072170.0,,1428.221064542,,,,,,,,,,,,,
,,6030,0.05,,,,,,,,1776369497.233653,7139328.0,,1438.226072875,,,,,,,,,,,,,
,,6040,,,1.9137056,,,,,,1776369497.2337139,7139328.0,,1438.226118959,,,,,,,,,,,,,
,,6061,,,,,,,,,1776369503.045045,7168000.0,0.335,1443.22890725,,,,,,,,,,,,,
,,6068,,,,,,,,,1776369503.9179552,7172130.0,,1448.231801542,,0.07836503,,,,,,,,,,,
,,6102,,,,,,,,,1776369514.08884,7222110.0,,1458.237891292,,,,,,,,1.0,,,,,
,,6210,,,1.5847502,,,,,,1776369537.926741,7340032.0,,1478.246725625,,,,,,,,,,,,,
,,6211,,,,,,,,,1776369537.926888,7340032.0,,1478.246737,,,4976.0,,,,,,,,,,
,,6221,,,,,0.038656782,,,,1776369539.396721,7347060.0,,1483.247708667,,,,,,,,,,,,,
,,6255,,99.0,,,,,,,1776369549.6796749,7397376.0,,1493.252498917,,,,,,,,,,,,,
,,6256,,,,,,,2.0,,1776369549.679679,7397376.0,,1493.252503375,,,,,,,,,,,,,
,,6340,,,,0.79988575,,,,,1776369569.8913112,7497000.0,,1513.2608245,,,,,,,,,,,,,
,,6357,,,,,,,,,1776369572.949026,7512064.0,,1513.260903292,,,4974.0,,,,,,,,,,
,,6361,,,,,,,,,1776369574.988717,7521990.0,,1518.263438792,,,,,,,,,,,,0.46588543,
-13.317619,,6383,,,,,,,,,1776369580.067276,7546980.0,,1523.266020917,,,,,,,,,,,,,
,,6399,,98.5,,,,,,,1776369584.58145,7569408.0,,1528.268460459,,,,,,,,,,,,,
-12.734198,,6419,,,,,,,,,1776369590.203038,7596960.0,,1533.270909417,,,,,,,,,,,,,
,,6448,,,,,,,,,1776369596.256209,7626752.0,,1538.273489375,,,,,,,54.0,,,,,,
,,6454,,,1.445239,,,,,,1776369596.2562308,7626752.0,,1538.273906542,,,,,,,,,,,,,
,,6471,,,,,,,,,1776369602.258259,7655424.0,,1543.276066,,,,,,,,,,32.5,,,
